Date,FY,Quarter,Frequency,Rain Advisories,Precautionary Advisories,Bacterial Advisories,Total Advisories,Non-TJR Closure Issued,TJR Closure Issued,Total Closures,Rain Beach Days,Precautionary Beach Days,Bacterial Beach Days,Total Advisory Beach Days,Non- TJR Closure Beach Days,TJR Closure Beach Days,Total Closure Beach Days
01/31/2016 12:00:00 AM,,,monthly,2,0,8,10,1,2,3,7,0,93,100,11,45,56
02/29/2016 12:00:00 AM,,,monthly,0,0,8,8,0,1,1,2,0,38,40,0,25,25
03/31/2016 12:00:00 AM,,,monthly,2,2,3,7,0,2,2,7,3,5,15,0,19,19
04/30/2016 12:00:00 AM,,,monthly,1,0,19,20,0,1,1,6,2,58,66,0,25,25
05/31/2016 12:00:00 AM,,,monthly,1,2,7,10,1,4,5,3,15,84,102,1,27,28
06/30/2016 12:00:00 AM,,,monthly,0,1,8,9,1,0,1,0,13,11,24,1,0,1
07/31/2016 12:00:00 AM,,,monthly,0,0,7,7,0,0,0,0,0,27,27,0,0,0
08/31/2016 12:00:00 AM,,,monthly,0,1,12,13,1,0,1,0,7,12,19,9,0,9
09/30/2016 12:00:00 AM,,,monthly,1,1,6,8,0,3,3,4,8,40,52,3,14,17
10/31/2016 12:00:00 AM,,,monthly,0,0,15,15,0,0,0,0,0,56,56,0,3,3
11/30/2016 12:00:00 AM,,,monthly,2,2,5,9,0,1,1,7,11,25,43,0,10,10
12/31/2016 12:00:00 AM,,,monthly,3,2,4,9,0,3,3,10,3,52,65,0,45,45
01/31/2017 12:00:00 AM,,,monthly,4,0,1,5,0,7,7,21,0,31,52,0,67,67
02/28/2017 12:00:00 AM,,,monthly,3,0,0,3,1,7,8,9,0,1,10,1,65,66
03/31/2017 12:00:00 AM,,,monthly,0,0,4,4,0,1,1,2,0,6,8,1,52,53
04/30/2017 12:00:00 AM,,,monthly,0,1,6,7,1,0,1,0,14,10,24,3,30,33
05/31/2017 12:00:00 AM,,,monthly,1,1,5,7,0,2,2,3,7,8,18,0,35,35
06/30/2017 12:00:00 AM,,,monthly,0,0,6,6,0,0,0,0,0,9,9,0,7,7
07/31/2017 12:00:00 AM,,,monthly,0,0,4,4,0,0,0,0,2,6,8,0,0,0
08/31/2017 12:00:00 AM,,,monthly,0,1,12,13,0,0,0,0,0,19,19,0,0,0
09/30/2017 12:00:00 AM,,,monthly,0,0,11,11,0,0,0,0,0,14,14,0,0,0
10/31/2017 12:00:00 AM,,,monthly,0,1,11,12,0,0,0,0,2,31,33,0,0,0
11/30/2017 12:00:00 AM,,,monthly,0,0,10,10,0,2,2,0,0,15,15,0,12,12
12/31/2017 12:00:00 AM,,,monthly,0,1,3,4,0,0,0,0,1,38,39,0,0,0
01/31/2018 12:00:00 AM,,,monthly,1,0,13,14,0,3,3,4,0,42,46,0,31,31
02/28/2018 12:00:00 AM,,,monthly,1,1,4,6,0,2,2,2,2,59,63,0,14,14
03/31/2018 12:00:00 AM,,,monthly,3,0,6,9,0,4,4,13,0,24,37,0,38,38
04/30/2018 12:00:00 AM,,,monthly,0,2,5,7,0,0,0,0,2,5,7,0,0,0
05/31/2018 12:00:00 AM,,,monthly,0,2,18,20,0,0,0,0,14,33,47,0,0,0
06/30/2018 12:00:00 AM,,,monthly,0,1,12,13,1,0,1,0,1,25,26,1,0,1
07/31/2018 12:00:00 AM,,,monthly,0,0,12,12,0,0,0,0,0,36,36,0,0,0
08/31/2018 12:00:00 AM,,,monthly,0,0,15,15,0,0,0,0,0,53,53,0,0,0
09/30/2018 12:00:00 AM,,,monthly,0,2,6,8,0,0,0,0,4,16,20,0,0,0
10/31/2018 12:00:00 AM,,,monthly,2,1,12,15,1,1,2,6,4,44,54,3,4,7
11/30/2018 12:00:00 AM,,,monthly,1,1,5,7,0,1,1,2,2,49,53,0,2,2
12/31/2018 12:00:00 AM,,,monthly,2,1,6,9,0,3,3,10,4,33,47,0,50,50
01/31/2019 12:00:00 AM,,,monthly,3,1,11,15,0,5,5,13,3,31,47,0,51,51
02/28/2019 12:00:00 AM,,,monthly,1,0,4,5,0,6,6,18,0,56,74,0,70,70
03/31/2019 12:00:00 AM,,,monthly,2,0,4,6,0,5,5,12,0,49,61,0,52,52
04/30/2019 12:00:00 AM,,,monthly,1,3,10,14,1,0,1,2,11,19,32,2,30,32
05/31/2019 12:00:00 AM,,,monthly,2,2,13,17,0,3,3,7,8,116,131,0,38,38
06/30/2019 12:00:00 AM,,,monthly,0,0,14,14,0,1,1,0,0,65,65,0,18,18
07/31/2019 12:00:00 AM,,,monthly,0,3,12,15,0,2,2,0,4,49,53,0,17,17
08/31/2019 12:00:00 AM,,,monthly,0,0,10,10,0,0,0,0,0,39,39,0,1,1
09/30/2019 12:00:00 AM,,,monthly,0,0,21,21,0,2,2,0,0,117,117,0,25,25
10/31/2019 12:00:00 AM,,,monthly,0,1,33,34,0,0,0,0,1,106,107,0,0,0
11/30/2019 12:00:00 AM,,,monthly,2,1,15,18,0,3,3,8,1,52,61,0,24,24
12/31/2019 12:00:00 AM,,,monthly,2,0,7,9,0,5,5,15,0,79,94,0,80,80
01/31/2020 12:00:00 AM,,,monthly,2,0,8,10,0,4,4,6,0,120,126,0,27,27
02/29/2020 12:00:00 AM,,,monthly,2,1,4,7,0,2,2,6,2,17,25,0,34,34
03/31/2020 12:00:00 AM,,,monthly,2,0,3,5,0,3,3,15,0,63,78,0,87,87
